REFERENCE_ID,TREATMENT,GENERATION,PATCH,CASTCOUNT,CONFCOUNT
1,A,0,1,50,0
1,A,0,2,0,0
1,A,0,3,0,0
1,A,0,4,0,0
1,A,0,5,0,0
1,A,0,6,0,0
1,A,0,7,0,0
1,A,0,8,0,0
1,A,0,9,0,0
1,A,0,10,0,0
1,A,0,11,0,0
1,A,0,12,0,0
1,A,0,13,0,0
1,A,0,14,0,0
1,A,0,15,0,0
1,A,0,16,0,0
1,A,1,1,60,0
1,A,1,2,43,0
1,A,1,3,29,0
1,A,1,4,0,0
1,A,1,5,0,0
1,A,1,6,0,0
1,A,1,7,0,0
1,A,1,8,0,0
1,A,1,9,0,0
1,A,1,10,0,0
1,A,1,11,0,0
1,A,1,12,0,0
1,A,1,13,0,0
1,A,1,14,0,0
1,A,1,15,0,0
1,A,1,16,0,0
1,A,2,1,84,0
1,A,2,2,79,0
1,A,2,3,22,0
1,A,2,4,40,0
1,A,2,5,19,0
1,A,2,6,0,0
1,A,2,7,0,0
1,A,2,8,0,0
1,A,2,9,0,0
1,A,2,10,0,0
1,A,2,11,0,0
1,A,2,12,0,0
1,A,2,13,0,0
1,A,2,14,0,0
1,A,2,15,0,0
1,A,2,16,0,0
1,A,3,1,166,0
1,A,3,2,179,0
1,A,3,3,126,0
1,A,3,4,173,0
1,A,3,5,100,0
1,A,3,6,0,0
1,A,3,7,0,0
1,A,3,8,0,0
1,A,3,9,0,0
1,A,3,10,0,0
1,A,3,11,0,0
1,A,3,12,0,0
1,A,3,13,0,0
1,A,3,14,0,0
1,A,3,15,0,0
1,A,3,16,0,0
1,A,4,1,208,0
1,A,4,2,211,0
1,A,4,3,144,0
1,A,4,4,170,0
1,A,4,5,110,0
1,A,4,6,73,0
1,A,4,7,26,0
1,A,4,8,9,0
1,A,4,9,0,0
1,A,4,10,0,0
1,A,4,11,0,0
1,A,4,12,0,0
1,A,4,13,0,0
1,A,4,14,0,0
1,A,4,15,0,0
1,A,4,16,0,0
1,A,5,1,66,0
1,A,5,2,65,0
1,A,5,3,33,0
1,A,5,4,57,0
1,A,5,5,29,0
1,A,5,6,19,0
1,A,5,7,23,0
1,A,5,8,21,0
1,A,5,9,7,0
1,A,5,10,0,0
1,A,5,11,0,0
1,A,5,12,0,0
1,A,5,13,0,0
1,A,5,14,0,0
1,A,5,15,0,0
1,A,5,16,0,0
1,A,6,1,157,0
1,A,6,2,124,0
1,A,6,3,190,0
1,A,6,4,98,0
1,A,6,5,150,0
1,A,6,6,132,0
1,A,6,7,64,0
1,A,6,8,54,0
1,A,6,9,49,0
1,A,6,10,34,0
1,A,6,11,15,0
1,A,6,12,6,0
1,A,6,13,0,0
1,A,6,14,0,0
1,A,6,15,0,0
1,A,6,16,0,0
1,A,7,1,250,0
1,A,7,2,152,0
1,A,7,3,217,0
1,A,7,4,191,0
1,A,7,5,294,0
1,A,7,6,142,0
1,A,7,7,187,0
1,A,7,8,125,0
1,A,7,9,93,0
1,A,7,10,78,0
1,A,7,11,39,0
1,A,7,12,51,0
1,A,7,13,42,0
1,A,7,14,1,0
1,A,7,15,0,0
1,A,7,16,0,0
1,A,8,1,148,0
1,A,8,2,244,0
1,A,8,3,274,0
1,A,8,4,170,0
1,A,8,5,205,0
1,A,8,6,207,0
1,A,8,7,220,0
1,A,8,8,117,0
1,A,8,9,153,0
1,A,8,10,174,0
1,A,8,11,187,0
1,A,8,12,108,0
1,A,8,13,49,0
1,A,8,14,80,0
1,A,8,15,40,0
1,A,8,16,3,0
2,A,0,1,50,0
2,A,0,2,0,0
2,A,0,3,0,0
2,A,0,4,0,0
2,A,0,5,0,0
2,A,0,6,0,0
2,A,0,7,0,0
2,A,0,8,0,0
2,A,0,9,0,0
2,A,0,10,0,0
2,A,0,11,0,0
2,A,0,12,0,0
2,A,0,13,0,0
2,A,0,14,0,0
2,A,0,15,0,0
2,A,0,16,0,0
2,A,1,1,9,0
2,A,1,2,40,0
2,A,1,3,35,0
2,A,1,4,1,0
2,A,1,5,0,0
2,A,1,6,0,0
2,A,1,7,0,0
2,A,1,8,0,0
2,A,1,9,0,0
2,A,1,10,0,0
2,A,1,11,0,0
2,A,1,12,0,0
2,A,1,13,0,0
2,A,1,14,0,0
2,A,1,15,0,0
2,A,1,16,0,0
2,A,2,1,92,0
2,A,2,2,40,0
2,A,2,3,43,0
2,A,2,4,36,0
2,A,2,5,48,0
2,A,2,6,49,0
2,A,2,7,3,0
2,A,2,8,0,0
2,A,2,9,0,0
2,A,2,10,0,0
2,A,2,11,0,0
2,A,2,12,0,0
2,A,2,13,0,0
2,A,2,14,0,0
2,A,2,15,0,0
2,A,2,16,0,0
2,A,3,1,155,0
2,A,3,2,197,0
2,A,3,3,138,0
2,A,3,4,134,0
2,A,3,5,179,0
2,A,3,6,91,0
2,A,3,7,73,0
2,A,3,8,5,0
2,A,3,9,0,0
2,A,3,10,0,0
2,A,3,11,0,0
2,A,3,12,0,0
2,A,3,13,0,0
2,A,3,14,0,0
2,A,3,15,0,0
2,A,3,16,0,0
2,A,4,1,225,0
2,A,4,2,205,0
2,A,4,3,179,0
2,A,4,4,210,0
2,A,4,5,220,0
2,A,4,6,189,0
2,A,4,7,94,0
2,A,4,8,22,0
2,A,4,9,0,0
2,A,4,10,0,0
2,A,4,11,0,0
2,A,4,12,0,0
2,A,4,13,0,0
2,A,4,14,0,0
2,A,4,15,0,0
2,A,4,16,0,0
2,A,5,1,93,0
2,A,5,2,11,0
2,A,5,3,92,0
2,A,5,4,29,0
2,A,5,5,63,0
2,A,5,6,38,0
2,A,5,7,57,0
2,A,5,8,10,0
2,A,5,9,24,0
2,A,5,10,0,0
2,A,5,11,0,0
2,A,5,12,0,0
2,A,5,13,0,0
2,A,5,14,0,0
2,A,5,15,0,0
2,A,5,16,0,0
2,A,6,1,159,0
2,A,6,2,124,0
2,A,6,3,193,0
2,A,6,4,102,0
2,A,6,5,97,0
2,A,6,6,141,0
2,A,6,7,96,0
2,A,6,8,121,0
2,A,6,9,130,0
2,A,6,10,0,0
2,A,6,11,0,0
2,A,6,12,0,0
2,A,6,13,0,0
2,A,6,14,0,0
2,A,6,15,0,0
2,A,6,16,0,0
2,A,7,1,156,0
2,A,7,2,257,0
2,A,7,3,111,0
2,A,7,4,202,0
2,A,7,5,133,0
2,A,7,6,119,0
2,A,7,7,227,0
2,A,7,8,125,0
2,A,7,9,41,0
2,A,7,10,76,0
2,A,7,11,32,0
2,A,7,12,53,0
2,A,7,13,0,0
2,A,7,14,0,0
2,A,7,15,0,0
2,A,7,16,0,0
2,A,8,1,211,0
2,A,8,2,191,0
2,A,8,3,245,0
2,A,8,4,220,0
2,A,8,5,150,0
2,A,8,6,238,0
2,A,8,7,150,0
2,A,8,8,180,0
2,A,8,9,154,0
2,A,8,10,123,0
2,A,8,11,75,0
2,A,8,12,40,0
2,A,8,13,45,0
2,A,8,14,3,0
2,A,8,15,0,0
2,A,8,16,0,0
3,A,0,1,50,0
3,A,0,2,0,0
3,A,0,3,0,0
3,A,0,4,0,0
3,A,0,5,0,0
3,A,0,6,0,0
3,A,0,7,0,0
3,A,0,8,0,0
3,A,0,9,0,0
3,A,0,10,0,0
3,A,0,11,0,0
3,A,0,12,0,0
3,A,0,13,0,0
3,A,0,14,0,0
3,A,0,15,0,0
3,A,0,16,0,0
3,A,1,1,27,0
3,A,1,2,28,0
3,A,1,3,41,0
3,A,1,4,0,0
3,A,1,5,0,0
3,A,1,6,0,0
3,A,1,7,0,0
3,A,1,8,0,0
3,A,1,9,0,0
3,A,1,10,0,0
3,A,1,11,0,0
3,A,1,12,0,0
3,A,1,13,0,0
3,A,1,14,0,0
3,A,1,15,0,0
3,A,1,16,0,0
3,A,2,1,58,0
3,A,2,2,35,0
3,A,2,3,33,0
3,A,2,4,38,0
3,A,2,5,4,0
3,A,2,6,0,0
3,A,2,7,0,0
3,A,2,8,0,0
3,A,2,9,0,0
3,A,2,10,0,0
3,A,2,11,0,0
3,A,2,12,0,0
3,A,2,13,0,0
3,A,2,14,0,0
3,A,2,15,0,0
3,A,2,16,0,0
3,A,3,1,95,0
3,A,3,2,211,0
3,A,3,3,87,0
3,A,3,4,46,0
3,A,3,5,58,0
3,A,3,6,18,0
3,A,3,7,16,0
3,A,3,8,0,0
3,A,3,9,0,0
3,A,3,10,0,0
3,A,3,11,0,0
3,A,3,12,0,0
3,A,3,13,0,0
3,A,3,14,0,0
3,A,3,15,0,0
3,A,3,16,0,0
3,A,4,1,157,0
3,A,4,2,161,0
3,A,4,3,164,0
3,A,4,4,106,0
3,A,4,5,76,0
3,A,4,6,89,0
3,A,4,7,42,0
3,A,4,8,46,0
3,A,4,9,14,0
3,A,4,10,0,0
3,A,4,11,0,0
3,A,4,12,0,0
3,A,4,13,0,0
3,A,4,14,0,0
3,A,4,15,0,0
3,A,4,16,0,0
3,A,5,1,55,0
3,A,5,2,121,0
3,A,5,3,67,0
3,A,5,4,49,0
3,A,5,5,56,0
3,A,5,6,52,0
3,A,5,7,65,0
3,A,5,8,34,0
3,A,5,9,14,0
3,A,5,10,21,0
3,A,5,11,2,0
3,A,5,12,0,0
3,A,5,13,0,0
3,A,5,14,0,0
3,A,5,15,0,0
3,A,5,16,0,0
3,A,6,1,188,0
3,A,6,2,151,0
3,A,6,3,160,0
3,A,6,4,169,0
3,A,6,5,124,0
3,A,6,6,144,0
3,A,6,7,121,0
3,A,6,8,74,0
3,A,6,9,84,0
3,A,6,10,32,0
3,A,6,11,44,0
3,A,6,12,10,0
3,A,6,13,0,0
3,A,6,14,0,0
3,A,6,15,0,0
3,A,6,16,0,0
3,A,7,1,205,0
3,A,7,2,235,0
3,A,7,3,265,0
3,A,7,4,356,0
3,A,7,5,160,0
3,A,7,6,217,0
3,A,7,7,307,0
3,A,7,8,164,0
3,A,7,9,140,0
3,A,7,10,115,0
3,A,7,11,41,0
3,A,7,12,128,0
3,A,7,13,0,0
3,A,7,14,0,0
3,A,7,15,0,0
