Generation,Treatment,Species,Patch,Mean
0,A,Cast,1,50
0,A,Cast,2,0
0,A,Cast,3,0
0,A,Cast,4,0
0,A,Cast,5,0
0,A,Cast,6,0
0,A,Cast,7,0
0,A,Cast,8,0
0,A,Cast,9,0
0,A,Cast,10,0
0,A,Cast,11,0
0,A,Cast,12,0
0,A,Cast,13,0
0,A,Cast,14,0
0,A,Cast,15,0
0,A,Cast,16,0
1,A,Cast,1,30.5333333333333
1,A,Cast,2,37
1,A,Cast,3,19
1,A,Cast,4,1.53333333333333
1,A,Cast,5,0
1,A,Cast,6,0
1,A,Cast,7,0
1,A,Cast,8,0
1,A,Cast,9,0
1,A,Cast,10,0
1,A,Cast,11,0
1,A,Cast,12,0
1,A,Cast,13,0
1,A,Cast,14,0
1,A,Cast,15,0
1,A,Cast,16,0
2,A,Cast,1,78.6666666666667
2,A,Cast,2,64
2,A,Cast,3,37.9333333333333
2,A,Cast,4,31.4666666666667
2,A,Cast,5,26.8
2,A,Cast,6,7.13333333333333
2,A,Cast,7,0.933333333333333
2,A,Cast,8,0
2,A,Cast,9,0
2,A,Cast,10,0
2,A,Cast,11,0
2,A,Cast,12,0
2,A,Cast,13,0
2,A,Cast,14,0
2,A,Cast,15,0
2,A,Cast,16,0
3,A,Cast,1,148.6
3,A,Cast,2,148.133333333333
3,A,Cast,3,109.2
3,A,Cast,4,88.2666666666667
3,A,Cast,5,61.7333333333333
3,A,Cast,6,38.6
3,A,Cast,7,27
3,A,Cast,8,6.8
3,A,Cast,9,1.4
3,A,Cast,10,0.0666666666666667
3,A,Cast,11,0
3,A,Cast,12,0
3,A,Cast,13,0
3,A,Cast,14,0
3,A,Cast,15,0
3,A,Cast,16,0
4,A,Cast,1,186.466666666667
4,A,Cast,2,176.6
4,A,Cast,3,143.466666666667
4,A,Cast,4,132.866666666667
4,A,Cast,5,102.933333333333
4,A,Cast,6,99.5333333333333
4,A,Cast,7,48.9333333333333
4,A,Cast,8,32.4
4,A,Cast,9,18.4666666666667
4,A,Cast,10,4.93333333333333
4,A,Cast,11,1.53333333333333
4,A,Cast,12,0.0666666666666667
4,A,Cast,13,0
4,A,Cast,14,0
4,A,Cast,15,0
4,A,Cast,16,0
5,A,Cast,1,193
5,A,Cast,2,181.666666666667
5,A,Cast,3,148.2
5,A,Cast,4,157.066666666667
5,A,Cast,5,131.2
5,A,Cast,6,113.866666666667
5,A,Cast,7,103.6
