Replicate,Generation0,Generation1,Generation2,Generation3,Generation4,Generation5,Generation6,Generation7,Generation8
1,50,125,167,212,143,179,256,236,178
2,50,81,130,163,133,171,241,214,210
3,50,88,140,243,107,133,266,178,140
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,50,82,84,122,52,107,143,160,160
9,50,121,83,128,102,103,153,206,176
10,50,104,97,140,84,124,186,235,195
11,50,110,98,128,77,88,129,189,245
12,50,135,172,184,197,283,219,196,231
13,50,122,173,220,196,227,212,237,233
14,50,91,189,168,179,291,177,236,235
15,50,99,159,186,171,224,185,302,263
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,50,125,116,40,79,78,91,132,104
21,50,99,156,13,30,70,148,106,171
22,50,101,97,4,12,20,41,52,52
23,50,106,124,2,0,0,0,0,0
24,50,98,94,196,242,191,252,228,218
25,50,134,162,180,216,214,214,186,173
26,50,149,194,170,212,219,289,245,209
27,50,156,130,187,191,189,241,167,151
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,50,79,96,128,114,104,141,158,142
33,50,115,124,156,108,142,172,142,135
34,50,102,155,129,130,136,196,194,167
35,50,54,146,121,90,167,208,226,222
36,50,46,176,165,40,133,176,206,243
37,50,34,128,135,52,150,225,220,162
38,50,41,97,150,44,121,208,209,162
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,50,29,76,54,64,103,114,122,146
43,50,12,26,45,44,53,83,64,113
44,50,17,44,69,63,92,107,106,107
45,50,43,121,132,107,213,249,188,140
46,50,46,136,172,94,180,227,190,197
47,50,57,159,130,91,205,255,256,185
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
52,50,48,92,85,83,132,175,221,197
53,0,0,0,0,0,0,0,0,0
54,50,NA,59,53,57,100,153,173,144
55,50,NA,97,88,68,80,79,120,97
